subject	simulated_divergence_point
1	162
2	182
3	186
4	150
5	138
6	166
7	194
8	170
9	146
10	146
11	146
12	174
13	134
14	166
15	122
16	210
17	142
18	158
19	170
20	134
21	154
22	210
23	198
24	170
25	190
26	142
27	210
28	202
29	178
30	138
31	142
32	206
33	186
34	186
35	118
36	154
37	194
38	130
39	190
40	202
41	190
42	194
43	154
44	122
45	194
46	110
47	130
48	126
49	150
50	158
51	170
52	110
53	110
54	130
55	126
56	162
57	186
58	154
59	174
60	182
61	174
62	166
63	162
64	190
65	158
66	150
67	206
68	126
69	166
70	114
71	118
72	146
73	178
74	198
75	122
76	118
77	162
78	178
79	126
80	114
81	174
82	134
83	130
84	138
85	114
86	206
87	206
88	198
89	210
90	182
91	150
92	198
93	134
94	202
95	182
96	178
97	138
98	202
99	114
100	142
101	158
102	110
103	122
104	118
