item sound pos
89 SLC 5
91 SLC 3
82 SLC 2
92 SLC 4
86 SLC 2
112 SLC 4
100 SLC 4
81 SLC 5
90 SLC 2
88 SLC 4
117 SLC 5
115 SLC 3
87 SLC 3
105 SLC 5
95 SLC 3
94 SLC 2
83 SLC 3
98 SLC 2
114 SLC 2
119 SLC 3
96 SLC 4
84 SLC 4
106 SLC 2
99 SLC 3
97 SLC 5
102 SLC 2
118 SLC 2
103 SLC 3
111 SLC 3
107 SLC 3
109 SLC 5
120 SLC 4
85 SLC 5
108 SLC 4
93 SLC 5
110 SLC 2
101 SLC 5
116 SLC 4
104 SLC 4
113 SLC 5
1 STD 5
2 STD 2
3 STD 3
52 DEV 4
54 DEV 2
12 STD 4
28 STD 4
60 DEV 4
22 STD 2
26 STD 2
53 DEV 5
36 STD 4
74 DEV 2
32 STD 4
72 DEV 4
10 STD 2
9 STD 5
64 DEV 4
11 STD 3
19 STD 3
75 DEV 3
71 DEV 3
80 DEV 4
78 DEV 2
70 DEV 2
37 STD 5
49 DEV 5
48 DEV 4
23 STD 3
55 DEV 3
63 DEV 3
50 DEV 2
46 DEV 2
38 STD 2
39 STD 3
51 DEV 3
56 DEV 4
25 STD 5
47 DEV 3
59 DEV 3
31 STD 3
33 STD 5
18 STD 2
27 STD 3
6 STD 2
20 STD 4
21 STD 5
58 DEV 2
61 DEV 5
4 STD 4
29 STD 5
15 STD 3
62 DEV 2
69 DEV 5
77 DEV 5
24 STD 4
13 STD 5
16 STD 4
57 DEV 5
65 DEV 5
7 STD 3
42 DEV 2
35 STD 3
43 DEV 3
30 STD 2
41 DEV 5
68 DEV 4
44 DEV 4
73 DEV 5
76 DEV 4
5 STD 5
79 DEV 3
66 DEV 2
40 STD 4
8 STD 4
45 DEV 5
14 STD 2
17 STD 5
67 DEV 3
34 STD 2
