item sound pos
42 SLC 3
76 SLC 5
60 SLC 5
49 SLC 2
72 SLC 5
80 SLC 5
66 SLC 3
71 SLC 4
62 SLC 3
44 SLC 5
57 SLC 2
41 SLC 2
59 SLC 4
78 SLC 3
70 SLC 3
43 SLC 4
79 SLC 4
54 SLC 3
63 SLC 4
51 SLC 4
52 SLC 5
55 SLC 4
68 SLC 5
75 SLC 4
58 SLC 3
48 SLC 5
73 SLC 2
67 SLC 4
65 SLC 2
46 SLC 3
69 SLC 2
45 SLC 2
77 SLC 2
47 SLC 4
56 SLC 5
74 SLC 3
50 SLC 3
64 SLC 5
53 SLC 2
61 SLC 2
81 STD 2
82 STD 3
83 STD 4
7 DEV 4
4 DEV 5
6 DEV 3
15 DEV 4
113 STD 2
120 STD 5
26 DEV 3
87 STD 4
37 DEV 2
27 DEV 4
110 STD 3
84 STD 5
89 STD 2
85 STD 2
88 STD 5
93 STD 2
33 DEV 2
96 STD 5
20 DEV 5
19 DEV 4
35 DEV 4
39 DEV 4
91 STD 4
112 STD 5
16 DEV 5
100 STD 5
34 DEV 3
90 STD 3
2 DEV 3
119 STD 4
111 STD 4
9 DEV 2
23 DEV 4
13 DEV 2
115 STD 4
40 DEV 5
105 STD 2
28 DEV 5
10 DEV 3
17 DEV 2
101 STD 2
12 DEV 5
114 STD 3
99 STD 4
108 STD 5
38 DEV 3
109 STD 2
104 STD 5
14 DEV 3
86 STD 3
8 DEV 5
97 STD 2
107 STD 4
106 STD 3
31 DEV 4
94 STD 3
18 DEV 3
92 STD 5
1 DEV 2
22 DEV 3
25 DEV 2
116 STD 5
30 DEV 3
11 DEV 4
95 STD 4
32 DEV 5
5 DEV 2
24 DEV 5
103 STD 4
3 DEV 4
29 DEV 2
36 DEV 5
117 STD 2
21 DEV 2
98 STD 3
102 STD 3
118 STD 3
