item sound pos
1 STD 2
2 STD 3
3 STD 4
48 DEV 5
59 DEV 4
66 DEV 3
75 DEV 4
41 DEV 2
79 DEV 4
15 STD 4
34 STD 3
30 STD 3
46 DEV 3
55 DEV 4
71 DEV 4
21 STD 2
50 DEV 3
51 DEV 4
4 STD 5
47 DEV 4
52 DEV 5
6 STD 3
39 STD 4
33 STD 2
60 DEV 5
13 STD 2
67 DEV 4
20 STD 5
10 STD 3
32 STD 5
26 STD 3
40 STD 5
25 STD 2
24 STD 5
19 STD 4
8 STD 5
62 DEV 3
38 STD 3
54 DEV 3
80 DEV 5
31 STD 4
17 STD 2
9 STD 2
23 STD 4
57 DEV 2
14 STD 3
61 DEV 2
45 DEV 2
43 DEV 4
12 STD 5
35 STD 4
76 DEV 5
42 DEV 3
69 DEV 2
53 DEV 2
58 DEV 3
37 STD 2
56 DEV 5
74 DEV 3
44 DEV 5
78 DEV 3
27 STD 4
70 DEV 3
18 STD 3
68 DEV 5
29 STD 2
49 DEV 2
11 STD 4
73 DEV 2
22 STD 3
72 DEV 5
7 STD 4
16 STD 5
65 DEV 2
77 DEV 2
36 STD 5
64 DEV 5
63 DEV 4
5 STD 2
28 STD 5
117 SLC 2
84 SLC 5
108 SLC 5
100 SLC 5
112 SLC 5
87 SLC 4
106 SLC 3
81 SLC 2
90 SLC 3
115 SLC 4
102 SLC 3
97 SLC 2
86 SLC 3
110 SLC 3
91 SLC 4
83 SLC 4
111 SLC 4
104 SLC 5
119 SLC 4
101 SLC 2
114 SLC 3
82 SLC 3
113 SLC 2
95 SLC 4
96 SLC 5
88 SLC 5
99 SLC 4
109 SLC 2
107 SLC 4
103 SLC 4
120 SLC 5
118 SLC 3
89 SLC 2
98 SLC 3
92 SLC 5
116 SLC 5
105 SLC 2
93 SLC 2
85 SLC 2
94 SLC 3
