item sound pos
115 SLC 5
103 SLC 5
91 SLC 5
111 SLC 5
117 SLC 3
102 SLC 4
81 SLC 3
106 SLC 4
101 SLC 3
107 SLC 5
87 SLC 5
82 SLC 4
94 SLC 4
116 SLC 2
86 SLC 4
110 SLC 4
109 SLC 3
108 SLC 2
93 SLC 3
88 SLC 2
100 SLC 2
104 SLC 2
92 SLC 2
97 SLC 3
118 SLC 4
83 SLC 5
120 SLC 2
99 SLC 5
96 SLC 2
95 SLC 5
112 SLC 2
90 SLC 4
85 SLC 3
98 SLC 4
113 SLC 3
89 SLC 3
114 SLC 4
119 SLC 5
105 SLC 3
84 SLC 2
1 STD 3
2 STD 4
3 STD 5
7 STD 5
63 DEV 5
77 DEV 3
38 STD 4
74 DEV 4
78 DEV 4
54 DEV 4
70 DEV 4
8 STD 2
13 STD 3
15 STD 5
64 DEV 2
48 DEV 2
55 DEV 5
76 DEV 2
68 DEV 2
58 DEV 4
61 DEV 3
30 STD 4
50 DEV 4
59 DEV 5
34 STD 4
39 STD 5
4 STD 2
51 DEV 5
62 DEV 4
60 DEV 2
80 DEV 2
43 DEV 5
24 STD 2
47 DEV 5
31 STD 5
22 STD 4
10 STD 4
18 STD 4
79 DEV 5
66 DEV 4
37 STD 3
17 STD 3
19 STD 5
27 STD 5
69 DEV 3
49 DEV 3
14 STD 4
73 DEV 3
65 DEV 3
11 STD 5
71 DEV 5
6 STD 4
56 DEV 2
36 STD 2
20 STD 2
41 DEV 3
40 STD 2
52 DEV 2
45 DEV 3
72 DEV 2
44 DEV 2
75 DEV 5
25 STD 3
28 STD 2
12 STD 2
29 STD 3
9 STD 3
16 STD 2
5 STD 3
57 DEV 3
35 STD 5
46 DEV 4
33 STD 3
32 STD 2
42 DEV 4
67 DEV 5
26 STD 4
23 STD 5
21 STD 3
53 DEV 3
