item sound pos
41 STD 3
42 STD 4
43 STD 5
51 STD 5
107 DEV 5
90 DEV 4
82 DEV 4
73 STD 3
96 DEV 2
61 STD 3
63 STD 5
65 STD 3
55 STD 5
99 DEV 5
52 STD 2
72 STD 2
86 DEV 4
89 DEV 3
93 DEV 3
110 DEV 4
101 DEV 3
75 STD 5
78 STD 4
77 STD 3
46 STD 4
109 DEV 3
102 DEV 4
59 STD 5
98 DEV 4
67 STD 5
112 DEV 2
103 DEV 5
91 DEV 5
120 DEV 2
74 STD 4
88 DEV 2
104 DEV 2
49 STD 3
83 DEV 5
69 STD 3
50 STD 4
97 DEV 3
66 STD 4
60 STD 2
44 STD 2
80 STD 2
45 STD 3
87 DEV 5
117 DEV 3
70 STD 4
54 STD 4
94 DEV 4
57 STD 3
56 STD 2
76 STD 2
111 DEV 5
64 STD 2
95 DEV 5
47 STD 5
115 DEV 5
62 STD 4
114 DEV 4
58 STD 4
113 DEV 3
48 STD 2
68 STD 2
108 DEV 2
116 DEV 2
84 DEV 2
81 DEV 3
119 DEV 5
71 STD 5
106 DEV 4
118 DEV 4
85 DEV 3
100 DEV 2
92 DEV 2
53 STD 3
79 STD 5
105 DEV 3
8 SLC 2
9 SLC 3
25 SLC 3
14 SLC 4
26 SLC 4
13 SLC 3
11 SLC 5
7 SLC 5
3 SLC 5
34 SLC 4
20 SLC 2
38 SLC 4
31 SLC 5
37 SLC 3
10 SLC 4
15 SLC 5
5 SLC 3
21 SLC 3
16 SLC 2
23 SLC 5
4 SLC 2
22 SLC 4
2 SLC 4
39 SLC 5
32 SLC 2
33 SLC 3
40 SLC 2
24 SLC 2
6 SLC 4
12 SLC 2
17 SLC 3
30 SLC 4
1 SLC 3
29 SLC 3
18 SLC 4
28 SLC 2
35 SLC 5
19 SLC 5
36 SLC 2
27 SLC 5
