item sound pos
41 STD 5
42 STD 2
43 STD 3
114 DEV 2
94 DEV 2
73 STD 5
57 STD 5
100 DEV 4
74 STD 2
82 DEV 2
97 DEV 5
119 DEV 3
80 STD 4
83 DEV 3
99 DEV 3
87 DEV 3
104 DEV 4
85 DEV 5
48 STD 4
81 DEV 5
112 DEV 4
54 STD 2
108 DEV 4
56 STD 4
117 DEV 5
47 STD 3
92 DEV 4
116 DEV 4
60 STD 4
88 DEV 4
59 STD 3
49 STD 5
51 STD 3
67 STD 3
89 DEV 5
98 DEV 2
107 DEV 3
44 STD 4
58 STD 2
66 STD 2
75 STD 3
70 STD 2
65 STD 5
63 STD 3
61 STD 5
86 DEV 2
95 DEV 3
53 STD 5
84 DEV 4
111 DEV 3
79 STD 3
101 DEV 5
69 STD 5
115 DEV 3
55 STD 3
45 STD 5
105 DEV 5
46 STD 2
62 STD 2
90 DEV 2
106 DEV 2
93 DEV 5
77 STD 5
68 STD 4
102 DEV 2
113 DEV 5
71 STD 3
96 DEV 4
91 DEV 3
109 DEV 5
64 STD 4
110 DEV 2
118 DEV 2
52 STD 4
72 STD 4
76 STD 4
78 STD 2
103 DEV 3
120 DEV 4
50 STD 2
21 SLC 5
34 SLC 2
37 SLC 5
16 SLC 4
4 SLC 4
28 SLC 4
18 SLC 2
26 SLC 2
19 SLC 3
35 SLC 3
31 SLC 3
27 SLC 3
29 SLC 5
36 SLC 4
9 SLC 5
15 SLC 3
6 SLC 2
32 SLC 4
20 SLC 4
39 SLC 3
30 SLC 2
40 SLC 4
38 SLC 2
3 SLC 3
33 SLC 5
24 SLC 4
10 SLC 2
1 SLC 5
7 SLC 3
13 SLC 5
14 SLC 2
11 SLC 3
12 SLC 4
8 SLC 4
2 SLC 2
23 SLC 3
5 SLC 5
25 SLC 5
17 SLC 5
22 SLC 2
