item sound pos
21 SLC 2
38 SLC 3
22 SLC 3
25 SLC 2
9 SLC 2
14 SLC 3
18 SLC 3
29 SLC 2
5 SLC 2
13 SLC 2
31 SLC 4
26 SLC 3
32 SLC 5
36 SLC 5
6 SLC 3
12 SLC 5
2 SLC 3
15 SLC 4
17 SLC 2
39 SLC 4
10 SLC 3
24 SLC 5
8 SLC 5
40 SLC 5
37 SLC 2
11 SLC 4
30 SLC 3
23 SLC 4
20 SLC 5
3 SLC 4
16 SLC 5
4 SLC 5
27 SLC 4
7 SLC 4
19 SLC 4
35 SLC 4
28 SLC 5
33 SLC 2
34 SLC 3
1 SLC 2
41 STD 2
42 STD 3
43 STD 4
111 DEV 4
116 DEV 5
92 DEV 5
44 STD 5
102 DEV 3
65 STD 2
95 DEV 4
70 STD 3
118 DEV 3
101 DEV 2
81 DEV 2
105 DEV 2
47 STD 4
112 DEV 5
75 STD 4
56 STD 5
78 STD 3
115 DEV 4
73 STD 2
80 STD 5
109 DEV 2
69 STD 2
49 STD 2
84 DEV 5
99 DEV 4
68 STD 5
94 DEV 3
57 STD 2
107 DEV 4
64 STD 5
61 STD 2
77 STD 2
71 STD 4
51 STD 4
45 STD 2
52 STD 5
86 DEV 3
93 DEV 2
83 DEV 4
120 DEV 5
96 DEV 5
62 STD 3
48 STD 5
110 DEV 3
54 STD 3
117 DEV 2
91 DEV 4
119 DEV 4
66 STD 3
98 DEV 3
76 STD 5
59 STD 4
67 STD 4
113 DEV 2
89 DEV 2
58 STD 3
74 STD 3
60 STD 5
79 STD 4
82 DEV 3
46 STD 3
72 STD 5
103 DEV 4
100 DEV 5
85 DEV 2
53 STD 2
88 DEV 5
50 STD 3
63 STD 4
90 DEV 3
106 DEV 3
114 DEV 3
87 DEV 4
108 DEV 5
55 STD 4
104 DEV 5
97 DEV 2
