item sound pos
41 STD 5
42 STD 2
43 STD 3
91 DEV 3
52 STD 4
109 DEV 5
48 STD 4
113 DEV 5
117 DEV 5
111 DEV 3
102 DEV 2
68 STD 4
70 STD 2
108 DEV 4
103 DEV 3
63 STD 3
56 STD 4
85 DEV 5
73 STD 5
99 DEV 3
66 STD 2
58 STD 2
97 DEV 5
69 STD 5
44 STD 4
82 DEV 2
55 STD 3
75 STD 3
94 DEV 2
92 DEV 4
107 DEV 3
67 STD 3
101 DEV 5
46 STD 2
116 DEV 4
71 STD 3
105 DEV 5
59 STD 3
115 DEV 3
74 STD 2
81 DEV 5
49 STD 5
120 DEV 4
96 DEV 4
61 STD 5
45 STD 5
87 DEV 3
80 STD 4
90 DEV 2
72 STD 4
93 DEV 5
53 STD 5
47 STD 3
86 DEV 2
57 STD 5
77 STD 5
79 STD 3
100 DEV 4
89 DEV 5
119 DEV 3
95 DEV 3
54 STD 2
60 STD 4
112 DEV 4
78 STD 2
65 STD 5
106 DEV 2
110 DEV 2
83 DEV 3
118 DEV 2
76 STD 4
62 STD 2
104 DEV 4
84 DEV 4
114 DEV 2
50 STD 2
88 DEV 4
64 STD 4
51 STD 3
98 DEV 2
27 SLC 3
11 SLC 3
25 SLC 5
2 SLC 2
37 SLC 5
32 SLC 4
16 SLC 4
8 SLC 4
34 SLC 2
40 SLC 4
33 SLC 5
10 SLC 2
12 SLC 4
1 SLC 5
4 SLC 4
15 SLC 3
38 SLC 2
24 SLC 4
22 SLC 2
35 SLC 3
23 SLC 3
30 SLC 2
9 SLC 5
36 SLC 4
6 SLC 2
18 SLC 2
20 SLC 4
14 SLC 2
13 SLC 5
3 SLC 3
28 SLC 4
5 SLC 5
29 SLC 5
26 SLC 2
31 SLC 3
7 SLC 3
39 SLC 3
17 SLC 5
19 SLC 3
21 SLC 5
