item sound pos
1 STD 4
2 STD 5
3 STD 2
23 STD 2
47 DEV 2
68 DEV 3
24 STD 3
4 STD 3
22 STD 5
73 DEV 4
56 DEV 3
51 DEV 2
70 DEV 5
77 DEV 4
15 STD 2
36 STD 3
75 DEV 2
27 STD 2
62 DEV 5
30 STD 5
57 DEV 4
53 DEV 4
38 STD 5
74 DEV 5
60 DEV 3
41 DEV 4
43 DEV 2
72 DEV 3
64 DEV 3
19 STD 2
69 DEV 4
66 DEV 5
31 STD 2
79 DEV 2
26 STD 5
20 STD 3
49 DEV 4
54 DEV 5
58 DEV 5
8 STD 3
80 DEV 3
71 DEV 2
39 STD 2
13 STD 4
14 STD 5
32 STD 3
78 DEV 5
67 DEV 2
52 DEV 3
16 STD 3
37 STD 4
6 STD 5
40 STD 3
21 STD 4
9 STD 4
17 STD 4
48 DEV 3
10 STD 5
7 STD 2
35 STD 2
28 STD 3
65 DEV 4
5 STD 4
44 DEV 3
50 DEV 5
33 STD 4
12 STD 3
61 DEV 4
18 STD 5
63 DEV 2
25 STD 4
29 STD 4
76 DEV 3
45 DEV 4
34 STD 5
59 DEV 2
46 DEV 5
55 DEV 2
11 STD 2
42 DEV 5
83 SLC 2
103 SLC 2
108 SLC 3
90 SLC 5
119 SLC 2
117 SLC 4
93 SLC 4
89 SLC 4
105 SLC 4
92 SLC 3
95 SLC 2
88 SLC 3
82 SLC 5
99 SLC 2
110 SLC 5
81 SLC 4
120 SLC 3
98 SLC 5
102 SLC 5
96 SLC 3
109 SLC 4
87 SLC 2
112 SLC 3
113 SLC 4
115 SLC 2
107 SLC 2
101 SLC 4
104 SLC 3
84 SLC 3
85 SLC 4
116 SLC 3
111 SLC 2
91 SLC 2
86 SLC 5
118 SLC 5
97 SLC 4
114 SLC 5
100 SLC 3
94 SLC 5
106 SLC 5
