item sound pos
81 STD 5
82 STD 2
83 STD 3
3 DEV 3
85 STD 5
27 DEV 3
36 DEV 4
116 STD 4
107 STD 3
26 DEV 2
92 STD 4
114 STD 2
11 DEV 3
95 STD 3
99 STD 3
29 DEV 5
90 STD 2
104 STD 4
24 DEV 4
6 DEV 2
119 STD 3
18 DEV 2
102 STD 2
4 DEV 4
120 STD 4
111 STD 3
31 DEV 3
20 DEV 4
12 DEV 4
15 DEV 3
28 DEV 4
30 DEV 2
91 STD 3
113 STD 5
1 DEV 5
25 DEV 5
100 STD 4
106 STD 2
19 DEV 3
39 DEV 3
88 STD 4
35 DEV 3
103 STD 3
9 DEV 5
93 STD 5
23 DEV 3
5 DEV 5
96 STD 4
34 DEV 2
38 DEV 2
16 DEV 4
108 STD 4
94 STD 2
112 STD 4
117 STD 5
2 DEV 2
33 DEV 5
110 STD 2
14 DEV 2
105 STD 5
17 DEV 5
32 DEV 4
118 STD 2
8 DEV 4
98 STD 2
84 STD 4
22 DEV 2
89 STD 5
87 STD 3
21 DEV 5
109 STD 5
13 DEV 5
10 DEV 2
86 STD 2
37 DEV 5
115 STD 3
40 DEV 4
7 DEV 3
101 STD 5
97 STD 5
64 SLC 4
80 SLC 4
74 SLC 2
48 SLC 4
58 SLC 2
63 SLC 3
70 SLC 2
68 SLC 4
41 SLC 5
47 SLC 3
72 SLC 4
49 SLC 5
59 SLC 3
43 SLC 3
52 SLC 4
55 SLC 3
60 SLC 4
53 SLC 5
44 SLC 4
79 SLC 3
73 SLC 5
56 SLC 4
71 SLC 3
62 SLC 2
65 SLC 5
78 SLC 2
69 SLC 5
42 SLC 2
54 SLC 2
61 SLC 5
75 SLC 3
76 SLC 4
46 SLC 2
50 SLC 2
45 SLC 5
51 SLC 3
57 SLC 5
67 SLC 3
77 SLC 5
66 SLC 2
