item sound pos
1 SLC 4
22 SLC 5
6 SLC 5
10 SLC 5
8 SLC 3
23 SLC 2
33 SLC 4
31 SLC 2
3 SLC 2
32 SLC 3
18 SLC 5
21 SLC 4
17 SLC 4
25 SLC 4
9 SLC 4
30 SLC 5
28 SLC 3
29 SLC 4
11 SLC 2
39 SLC 2
13 SLC 4
2 SLC 5
26 SLC 5
15 SLC 2
16 SLC 3
20 SLC 3
12 SLC 3
4 SLC 3
14 SLC 5
7 SLC 2
36 SLC 3
27 SLC 2
37 SLC 4
19 SLC 2
24 SLC 3
34 SLC 5
5 SLC 4
40 SLC 3
38 SLC 5
35 SLC 2
41 STD 4
42 STD 5
43 STD 2
81 DEV 4
54 STD 5
83 DEV 2
56 STD 3
82 DEV 5
74 STD 5
84 DEV 3
106 DEV 5
67 STD 2
66 STD 5
60 STD 3
111 DEV 2
108 DEV 3
92 DEV 3
59 STD 2
115 DEV 2
101 DEV 4
80 STD 3
98 DEV 5
90 DEV 5
63 STD 2
91 DEV 2
110 DEV 5
48 STD 3
73 STD 4
100 DEV 3
52 STD 3
79 STD 2
88 DEV 3
72 STD 3
69 STD 4
107 DEV 2
113 DEV 4
50 STD 5
119 DEV 2
105 DEV 4
77 STD 4
96 DEV 3
75 STD 2
97 DEV 4
70 STD 5
45 STD 4
117 DEV 4
53 STD 4
71 STD 2
76 STD 3
57 STD 4
99 DEV 2
102 DEV 5
85 DEV 4
118 DEV 5
62 STD 5
58 STD 5
94 DEV 5
86 DEV 5
93 DEV 4
104 DEV 3
46 STD 5
112 DEV 3
65 STD 4
87 DEV 2
120 DEV 3
89 DEV 4
55 STD 2
103 DEV 2
61 STD 4
114 DEV 5
116 DEV 3
109 DEV 4
68 STD 3
51 STD 2
64 STD 3
78 STD 5
95 DEV 2
47 STD 2
44 STD 3
49 STD 4
