item sound pos
1 STD 2
2 STD 3
3 STD 4
48 DEV 5
38 STD 3
16 STD 5
65 DEV 2
54 DEV 3
50 DEV 3
12 STD 5
47 DEV 4
43 DEV 4
52 DEV 5
34 STD 3
74 DEV 3
15 STD 4
64 DEV 5
70 DEV 3
44 DEV 5
57 DEV 2
40 STD 5
22 STD 3
68 DEV 5
26 STD 3
72 DEV 5
77 DEV 2
30 STD 3
17 STD 2
76 DEV 5
67 DEV 4
9 STD 2
39 STD 4
24 STD 5
37 STD 2
19 STD 4
32 STD 5
55 DEV 4
13 STD 2
21 STD 2
61 DEV 2
25 STD 2
8 STD 5
31 STD 4
60 DEV 5
20 STD 5
78 DEV 3
35 STD 4
46 DEV 3
62 DEV 3
27 STD 4
42 DEV 3
23 STD 4
75 DEV 4
18 STD 3
49 DEV 2
29 STD 2
11 STD 4
41 DEV 2
10 STD 3
69 DEV 2
4 STD 5
28 STD 5
7 STD 4
73 DEV 2
66 DEV 3
80 DEV 5
6 STD 3
33 STD 2
51 DEV 4
58 DEV 3
5 STD 2
71 DEV 4
45 DEV 2
63 DEV 4
53 DEV 2
79 DEV 4
36 STD 5
14 STD 3
56 DEV 5
59 DEV 4
89 SLC 2
110 SLC 3
84 SLC 5
109 SLC 2
94 SLC 3
92 SLC 5
118 SLC 3
108 SLC 5
99 SLC 4
91 SLC 4
82 SLC 3
114 SLC 3
105 SLC 2
116 SLC 5
90 SLC 3
115 SLC 4
87 SLC 4
113 SLC 2
83 SLC 4
97 SLC 2
100 SLC 5
104 SLC 5
111 SLC 4
117 SLC 2
96 SLC 5
81 SLC 2
98 SLC 3
107 SLC 4
93 SLC 2
103 SLC 4
101 SLC 2
95 SLC 4
119 SLC 4
112 SLC 5
88 SLC 5
86 SLC 3
102 SLC 3
85 SLC 2
106 SLC 3
120 SLC 5
